id,nombre,apellido,provincia,email,telefono,area
72,basilio,antunez,Barcelona,dr.basilio.antunez@yopmail.com,+34 681728664,médico de cabecera
73,lourdes,cepeda,Burgos,dr.lourdes.cepeda@yopmail.com,+34 697402586,cardiología
74,sandalio,somoza,Burgos,dr.sandalio.somoza@yopmail.com,+34 687414642,neumología
75,maximiano,canet,Burgos,dr.maximiano.canet@yopmail.com,+34 632909326,endocrinología
76,ligia,ibarra,Burgos,dr.ligia.ibarra@yopmail.com,+34 682649958,neurología
77,gabino,valverde,Burgos,dr.gabino.valverde@yopmail.com,+34 684579747,gastroenterología
78,julieta,sacristan,Burgos,dr.julieta.sacristan@yopmail.com,+34 647454360,alergología
79,jovita,cazorla,Burgos,dr.jovita.cazorla@yopmail.com,+34 622225272,psiquiatría
80,toribio,aguilo,Burgos,dr.toribio.aguilo@yopmail.com,+34 666634885,médico de cabecera
81,nicolasa,santana,Cáceres,dr.nicolasa.santana@yopmail.com,+34 633362395,cardiología
82,mariano,llano,Cáceres,dr.mariano.llano@yopmail.com,+34 694226588,neumología
83,florentina,conde,Cáceres,dr.florentina.conde@yopmail.com,+34 685360670,endocrinología
84,jimena,recio,Cáceres,dr.jimena.recio@yopmail.com,+34 613385765,neurología
85,vito,mercader,Cáceres,dr.vito.mercader@yopmail.com,+34 669570739,gastroenterología
86,ileana,naranjo,Cáceres,dr.ileana.naranjo@yopmail.com,+34 615734286,alergología
87,melania,sala,Cáceres,dr.melania.sala@yopmail.com,+34 652162120,psiquiatría
88,jose_luis,bernad,Cáceres,dr.jose_luis.bernad@yopmail.com,+34 671722329,médico de cabecera
89,sandalio,hoz,Cádiz,dr.sandalio.hoz@yopmail.com,+34 666397707,cardiología
90,enrique,burgos,Cádiz,dr.enrique.burgos@yopmail.com,+34 630312355,neumología
91,olegario,agullo,Cádiz,dr.olegario.agullo@yopmail.com,+34 654468866,endocrinología
92,agustina,navarrete,Cádiz,dr.agustina.navarrete@yopmail.com,+34 668518411,neurología
93,elvira,moran,Cádiz,dr.elvira.moran@yopmail.com,+34 657981956,gastroenterología
94,marcelino,toledo,Cádiz,dr.marcelino.toledo@yopmail.com,+34 636424482,alergología
95,leopoldo,ros,Cádiz,dr.leopoldo.ros@yopmail.com,+34 695231749,psiquiatría
96,domingo,ribes,Cádiz,dr.domingo.ribes@yopmail.com,+34 601323005,médico de cabecera
97,caridad,dominguez,Cantabria,dr.caridad.dominguez@yopmail.com,+34 676817760,cardiología
98,adoracion,bonilla,Cantabria,dr.adoracion.bonilla@yopmail.com,+34 641454937,neumología
99,juan_manuel,dominguez,Cantabria,dr.juan_manuel.dominguez@yopmail.com,+34 641960607,endocrinología
100,sandra,toledo,Cantabria,dr.sandra.toledo@yopmail.com,+34 633688174,neurología
101,nestor,guzman,Cantabria,dr.nestor.guzman@yopmail.com,+34 670038751,gastroenterología
102,marino,pinol,Cantabria,dr.marino.pinol@yopmail.com,+34 613025697,alergología
103,matias,nieto,Cantabria,dr.matias.nieto@yopmail.com,+34 614290378,psiquiatría
104,juan_luis,pena,Cantabria,dr.juan_luis.pena@yopmail.com,+34 653584288,médico de cabecera
105,mariana,barragan,Castellón,dr.mariana.barragan@yopmail.com,+34 626063197,cardiología
106,alejandra,coronado,Castellón,dr.alejandra.coronado@yopmail.com,+34 666009580,neumología
107,amor,millan,Castellón,dr.amor.millan@yopmail.com,+34 692872345,endocrinología
108,moises,sevilla,Castellón,dr.moises.sevilla@yopmail.com,+34 646539129,neurología
109,danilo,carreno,Castellón,dr.danilo.carreno@yopmail.com,+34 670048234,gastroenterología
110,heraclio,sastre,Castellón,dr.heraclio.sastre@yopmail.com,+34 641332176,alergología
111,ruben,menendez,Castellón,dr.ruben.menendez@yopmail.com,+34 650343355,psiquiatría
112,nieves,gaya,Castellón,dr.nieves.gaya@yopmail.com,+34 679683639,médico de cabecera
113,fermin,exposito,Ciudad Real,dr.fermin.exposito@yopmail.com,+34 676101941,cardiología
114,maria_del_carmen,verdejo,Ciudad Real,dr.maria_del_carmen.verdejo@yopmail.com,+34 688863385,neumología
115,isidro,valera,Ciudad Real,dr.isidro.valera@yopmail.com,+34 636565652,endocrinología
116,ildefonso,pomares,Ciudad Real,dr.ildefonso.pomares@yopmail.com,+34 647073644,neurología
117,agustin,sala,Ciudad Real,dr.agustin.sala@yopmail.com,+34 676772444,gastroenterología
118,cloe,frutos,Ciudad Real,dr.cloe.frutos@yopmail.com,+34 694245165,alergología
119,priscila,manzano,Ciudad Real,dr.priscila.manzano@yopmail.com,+34 654844458,psiquiatría
120,agustin,valera,Ciudad Real,dr.agustin.valera@yopmail.com,+34 649115968,médico de cabecera
121,griselda,machado,Córdoba,dr.griselda.machado@yopmail.com,+34 639280355,cardiología
122,amancio,rocha,Córdoba,dr.amancio.rocha@yopmail.com,+34 669909396,neumología
123,onofre,marco,Córdoba,dr.onofre.marco@yopmail.com,+34 677558274,endocrinología
124,faustino,nadal,Córdoba,dr.faustino.nadal@yopmail.com,+34 686154131,neurología
125,sergio,cobo,Córdoba,dr.sergio.cobo@yopmail.com,+34 644070665,gastroenterología
126,emilio,blanco,Córdoba,dr.emilio.blanco@yopmail.com,+34 610241405,alergología
127,maria_del_carmen,rossello,Córdoba,dr.maria_del_carmen.rossello@yopmail.com,+34 693018642,psiquiatría
128,nidia,baro,Córdoba,dr.nidia.baro@yopmail.com,+34 644927709,médico de cabecera
129,maria,iniesta,A Coruña,dr.maria.iniesta@yopmail.com,+34 650352842,cardiología
130,aitana,boada,A Coruña,dr.aitana.boada@yopmail.com,+34 677058631,neumología
131,feliciano,chaparro,A Coruña,dr.feliciano.chaparro@yopmail.com,+34 612429435,endocrinología
132,saturnino,fiol,A Coruña,dr.saturnino.fiol@yopmail.com,+34 684568366,neurología
133,lola,puerta,A Coruña,dr.lola.puerta@yopmail.com,+34 639265956,gastroenterología
134,victorino,sola,A Coruña,dr.victorino.sola@yopmail.com,+34 668085188,alergología
135,jafet,bejarano,A Coruña,dr.jafet.bejarano@yopmail.com,+34 656315355,psiquiatría
136,melania,morera,A Coruña,dr.melania.morera@yopmail.com,+34 632153569,médico de cabecera
137,macarena,arino,Cuenca,dr.macarena.arino@yopmail.com,+34 648971683,cardiología
138,jose_manuel,aliaga,Cuenca,dr.jose_manuel.aliaga@yopmail.com,+34 646489250,neumología
139,oscar,perera,Cuenca,dr.oscar.perera@yopmail.com,+34 626084600,endocrinología
140,gloria,guardia,Cuenca,dr.gloria.guardia@yopmail.com,+34 634474546,neurología
141,basilio,cadenas,Cuenca,dr.basilio.cadenas@yopmail.com,+34 687627738,gastroenterología
142,poncio,exposito,Cuenca,dr.poncio.exposito@yopmail.com,+34 675715459,alergología
143,vicenta,quesada,Cuenca,dr.vicenta.quesada@yopmail.com,+34 605257227,psiquiatría
144,cristobal,nogueira,Cuenca,dr.cristobal.nogueira@yopmail.com,+34 682644070,médico de cabecera
145,marcela,escolano,Girona,dr.marcela.escolano@yopmail.com,+34 669814437,cardiología
146,yesica,castillo,Girona,dr.yesica.castillo@yopmail.com,+34 658169269,neumología
147,efrain,valentin,Girona,dr.efrain.valentin@yopmail.com,+34 647110572,endocrinología
148,marcelino,grande,Girona,dr.marcelino.grande@yopmail.com,+34 663404445,neurología
149,trinidad,pazos,Girona,dr.trinidad.pazos@yopmail.com,+34 600706243,gastroenterología
150,romulo,castellanos,Girona,dr.romulo.castellanos@yopmail.com,+34 614535684,alergología
151,alejandra,lopez,Girona,dr.alejandra.lopez@yopmail.com,+34 617723365,psiquiatría
152,cesar,pou,Girona,dr.cesar.pou@yopmail.com,+34 684367457,médico de cabecera
153,aurelia,pozo,Granada,dr.aurelia.pozo@yopmail.com,+34 652449272,cardiología
154,felix,camps,Granada,dr.felix.camps@yopmail.com,+34 671191479,neumología
155,lisandro,gargallo,Granada,dr.lisandro.gargallo@yopmail.com,+34 655197626,endocrinología
156,severino,arnal,Granada,dr.severino.arnal@yopmail.com,+34 631804910,neurología
157,edelmiro,lago,Granada,dr.edelmiro.lago@yopmail.com,+34 663815808,gastroenterología
158,graciana,nebot,Granada,dr.graciana.nebot@yopmail.com,+34 604534946,alergología
159,celestina,vall,Granada,dr.celestina.vall@yopmail.com,+34 671009803,psiquiatría
160,adan,alfonso,Granada,dr.adan.alfonso@yopmail.com,+34 695748109,médico de cabecera
161,salomon,valderrama,Guadalajara,dr.salomon.valderrama@yopmail.com,+34 657838953,cardiología
162,severino,font,Guadalajara,dr.severino.font@yopmail.com,+34 697216572,neumología
163,alicia,castejon,Guadalajara,dr.alicia.castejon@yopmail.com,+34 699797909,endocrinología
164,edmundo,rey,Guadalajara,dr.edmundo.rey@yopmail.com,+34 657292462,neurología
165,joaquin,gabaldon,Guadalajara,dr.joaquin.gabaldon@yopmail.com,+34 663229596,gastroenterología
166,gonzalo,pedrosa,Guadalajara,dr.gonzalo.pedrosa@yopmail.com,+34 642038380,alergología
167,galo,reina,Guadalajara,dr.galo.reina@yopmail.com,+34 608610056,psiquiatría
168,jose_luis,amores,Guadalajara,dr.jose_luis.amores@yopmail.com,+34 642458599,médico de cabecera
169,manu,cepeda,Gipuzkoa,dr.manu.cepeda@yopmail.com,+34 608508804,cardiología
170,antonio,segovia,Gipuzkoa,dr.antonio.segovia@yopmail.com,+34 628751188,neumología
171,ani,cal,Gipuzkoa,dr.ani.cal@yopmail.com,+34 607369658,endocrinología
172,salomon,villegas,Gipuzkoa,dr.salomon.villegas@yopmail.com,+34 620066601,neurología
173,lalo,velasco,Gipuzkoa,dr.lalo.velasco@yopmail.com,+34 605394970,gastroenterología
174,lidia,gras,Gipuzkoa,dr.lidia.gras@yopmail.com,+34 640332778,alergología
175,amparo,vall,Gipuzkoa,dr.amparo.vall@yopmail.com,+34 689724668,psiquiatría
176,modesta,almagro,Gipuzkoa,dr.modesta.almagro@yopmail.com,+34 603421280,médico de cabecera
177,fabiana,catalan,Huelva,dr.fabiana.catalan@yopmail.com,+34 661838655,cardiología
178,benigna,font,Huelva,dr.benigna.font@yopmail.com,+34 641993518,neumología
179,jeronimo,carvajal,Huelva,dr.jeronimo.carvajal@yopmail.com,+34 696920624,endocrinología
180,sancho,saez,Huelva,dr.sancho.saez@yopmail.com,+34 692298752,neurología
181,nicanor,arias,Huelva,dr.nicanor.arias@yopmail.com,+34 658686004,gastroenterología
182,macario,gonzalo,Huelva,dr.macario.gonzalo@yopmail.com,+34 663927271,alergología
183,cayetana,ballester,Huelva,dr.cayetana.ballester@yopmail.com,+34 614625694,psiquiatría
184,danilo,barrios,Huelva,dr.danilo.barrios@yopmail.com,+34 660450682,médico de cabecera
185,macaria,laguna,Huesca,dr.macaria.laguna@yopmail.com,+34 635214941,cardiología
186,sebastian,casas,Huesca,dr.sebastian.casas@yopmail.com,+34 618746051,neumología
187,celestino,gallart,Huesca,dr.celestino.gallart@yopmail.com,+34 683868349,endocrinología
188,lucho,segui,Huesca,dr.lucho.segui@yopmail.com,+34 646419986,neurología
189,fermin,amores,Huesca,dr.fermin.amores@yopmail.com,+34 640824569,gastroenterología
190,alejo,gordillo,Huesca,dr.alejo.gordillo@yopmail.com,+34 690836128,alergología
191,esther,andres,Huesca,dr.esther.andres@yopmail.com,+34 667714528,psiquiatría
192,inmaculada,bolanos,Huesca,dr.inmaculada.bolanos@yopmail.com,+34 647204577,médico de cabecera
193,baudelio,codina,Jaén,dr.baudelio.codina@yopmail.com,+34 686739676,cardiología
194,german,olive,Jaén,dr.german.olive@yopmail.com,+34 668599764,neumología
195,ildefonso,casado,Jaén,dr.ildefonso.casado@yopmail.com,+34 617277242,endocrinología
196,aaron,barcena,Jaén,dr.aaron.barcena@yopmail.com,+34 628847522,neurología
197,belen,malo,Jaén,dr.belen.malo@yopmail.com,+34 644675204,gastroenterología
198,danilo,cobos,Jaén,dr.danilo.cobos@yopmail.com,+34 677165596,alergología
199,evita,mora,Jaén,dr.evita.mora@yopmail.com,+34 640636893,psiquiatría
200,joaquin,carvajal,Jaén,dr.joaquin.carvajal@yopmail.com,+34 619585697,médico de cabecera
201,rolando,aguilo,León,dr.rolando.aguilo@yopmail.com,+34 674831152,cardiología
202,aurelia,falcon,León,dr.aurelia.falcon@yopmail.com,+34 699433970,neumología
203,mariano,barcena,León,dr.mariano.barcena@yopmail.com,+34 624531944,endocrinología
204,anselma,alegria,León,dr.anselma.alegria@yopmail.com,+34 639197866,neurología
205,apolonia,saavedra,León,dr.apolonia.saavedra@yopmail.com,+34 658375453,gastroenterología
206,ciro,alfonso,León,dr.ciro.alfonso@yopmail.com,+34 655463669,alergología
207,cebrian,corral,León,dr.cebrian.corral@yopmail.com,+34 666390337,psiquiatría
208,jose_angel,castrillo,León,dr.jose_angel.castrillo@yopmail.com,+34 634290132,médico de cabecera
209,georgina,suarez,Lleida,dr.georgina.suarez@yopmail.com,+34 689960541,cardiología
210,encarna,guerra,Lleida,dr.encarna.guerra@yopmail.com,+34 682601802,neumología
211,modesta,torrents,Lleida,dr.modesta.torrents@yopmail.com,+34 667766284,endocrinología
212,azucena,mir,Lleida,dr.azucena.mir@yopmail.com,+34 637425832,neurología
213,lidia,jover,Lleida,dr.lidia.jover@yopmail.com,+34 649448439,gastroenterología
214,melania,lozano,Lleida,dr.melania.lozano@yopmail.com,+34 601437279,alergología
215,trinidad,pons,Lleida,dr.trinidad.pons@yopmail.com,+34 699156664,psiquiatría
216,hortensia,castell,Lleida,dr.hortensia.castell@yopmail.com,+34 611458342,médico de cabecera
217,ernesto,hervas,Lugo,dr.ernesto.hervas@yopmail.com,+34 654049298,cardiología
218,lucia,tovar,Lugo,dr.lucia.tovar@yopmail.com,+34 623064880,neumología
219,maria_teresa,olmedo,Lugo,dr.maria_teresa.olmedo@yopmail.com,+34 613478987,endocrinología
220,mamen,zamora,Lugo,dr.mamen.zamora@yopmail.com,+34 683116039,neurología
221,pedro,boix,Lugo,dr.pedro.boix@yopmail.com,+34 646835375,gastroenterología
222,rosalva,azcona,Lugo,dr.rosalva.azcona@yopmail.com,+34 625649004,alergología
223,nayara,plana,Lugo,dr.nayara.plana@yopmail.com,+34 618038911,psiquiatría
224,eugenia,pera,Lugo,dr.eugenia.pera@yopmail.com,+34 632763068,médico de cabecera
225,jimena,arnal,Madrid,dr.jimena.arnal@yopmail.com,+34 684981091,cardiología
226,petrona,torrens,Madrid,dr.petrona.torrens@yopmail.com,+34 661412472,neumología
227,nicanor,perera,Madrid,dr.nicanor.perera@yopmail.com,+34 644144214,endocrinología
228,belen,contreras,Madrid,dr.belen.contreras@yopmail.com,+34 675706956,neurología
229,amanda,sancho,Madrid,dr.amanda.sancho@yopmail.com,+34 684245707,gastroenterología
230,calixto,canete,Madrid,dr.calixto.canete@yopmail.com,+34 698685615,alergología
231,oriana,comas,Madrid,dr.oriana.comas@yopmail.com,+34 658604769,psiquiatría
232,teobaldo,abad,Madrid,dr.teobaldo.abad@yopmail.com,+34 635346906,médico de cabecera
233,candelario,llado,Málaga,dr.candelario.llado@yopmail.com,+34 660704576,cardiología
234,gema,gallo,Málaga,dr.gema.gallo@yopmail.com,+34 697883267,neumología
235,belen,borja,Málaga,dr.belen.borja@yopmail.com,+34 607568505,endocrinología
236,valerio,casals,Málaga,dr.valerio.casals@yopmail.com,+34 641076482,neurología
237,maria_del_carmen,manjon,Málaga,dr.maria_del_carmen.manjon@yopmail.com,+34 632830677,gastroenterología
238,ceferino,figuerola,Málaga,dr.ceferino.figuerola@yopmail.com,+34 659677496,alergología
239,osvaldo,alberola,Málaga,dr.osvaldo.alberola@yopmail.com,+34 693298799,psiquiatría
240,benigno,dieguez,Málaga,dr.benigno.dieguez@yopmail.com,+34 687076983,médico de cabecera
241,josefina,montoya,Murcia,dr.josefina.montoya@yopmail.com,+34 692292592,cardiología
242,aurora,huertas,Murcia,dr.aurora.huertas@yopmail.com,+34 614924732,neumología
243,zaira,nieto,Murcia,dr.zaira.nieto@yopmail.com,+34 622425820,endocrinología
244,cebrian,uria,Murcia,dr.cebrian.uria@yopmail.com,+34 652428495,neurología
245,anna,mir,Murcia,dr.anna.mir@yopmail.com,+34 658226121,gastroenterología
246,porfirio,nunez,Murcia,dr.porfirio.nunez@yopmail.com,+34 653382801,alergología
247,baltasar,miguel,Murcia,dr.baltasar.miguel@yopmail.com,+34 690547370,psiquiatría
248,camila,plana,Murcia,dr.camila.plana@yopmail.com,+34 605658547,médico de cabecera
249,nidia,gallo,Navarra,dr.nidia.gallo@yopmail.com,+34 649552022,cardiología
250,sarita,clavero,Navarra,dr.sarita.clavero@yopmail.com,+34 693377131,neumología
251,matias,cabrero,Navarra,dr.matias.cabrero@yopmail.com,+34 656899429,endocrinología
252,tania,uribe,Navarra,dr.tania.uribe@yopmail.com,+34 654374674,neurología
253,gervasio,verdugo,Navarra,dr.gervasio.verdugo@yopmail.com,+34 645940460,gastroenterología
254,fermin,bas,Navarra,dr.fermin.bas@yopmail.com,+34 634204014,alergología
255,yesica,riba,Navarra,dr.yesica.riba@yopmail.com,+34 603226795,psiquiatría
256,febe,samper,Navarra,dr.febe.samper@yopmail.com,+34 627466974,médico de cabecera
257,sara,puga,Ourense,dr.sara.puga@yopmail.com,+34 627233753,cardiología
258,sonia,cabeza,Ourense,dr.sonia.cabeza@yopmail.com,+34 629907689,neumología
259,carlito,ferrer,Ourense,dr.carlito.ferrer@yopmail.com,+34 621041386,endocrinología
260,mar,hoz,Ourense,dr.mar.hoz@yopmail.com,+34 640189770,neurología
261,bautista,alegria,Ourense,dr.bautista.alegria@yopmail.com,+34 616385322,gastroenterología
262,priscila,marquez,Ourense,dr.priscila.marquez@yopmail.com,+34 676623117,alergología
263,magdalena,ordonez,Ourense,dr.magdalena.ordonez@yopmail.com,+34 668297660,psiquiatría
264,adelia,rossello,Ourense,dr.adelia.rossello@yopmail.com,+34 644010086,médico de cabecera
265,melisa,penas,Palencia,dr.melisa.penas@yopmail.com,+34 673241214,cardiología
266,remedios,cuevas,Palencia,dr.remedios.cuevas@yopmail.com,+34 680444121,neumología
267,tadeo,ortuno,Palencia,dr.tadeo.ortuno@yopmail.com,+34 659049368,endocrinología
268,guiomar,crespo,Palencia,dr.guiomar.crespo@yopmail.com,+34 623732026,neurología
269,elba,ribas,Palencia,dr.elba.ribas@yopmail.com,+34 655755895,gastroenterología
270,jose_manuel,heras,Palencia,dr.jose_manuel.heras@yopmail.com,+34 661528721,alergología
271,olimpia,salgado,Palencia,dr.olimpia.salgado@yopmail.com,+34 616053970,psiquiatría
272,aurora,alvarez,Palencia,dr.aurora.alvarez@yopmail.com,+34 697738129,médico de cabecera
273,vicente,crespi,Las Palmas,dr.vicente.crespi@yopmail.com,+34 662437435,cardiología
274,sabas,puente,Las Palmas,dr.sabas.puente@yopmail.com,+34 610894387,neumología
275,santos,gabaldon,Las Palmas,dr.santos.gabaldon@yopmail.com,+34 649724325,endocrinología
276,anselma,gutierrez,Las Palmas,dr.anselma.gutierrez@yopmail.com,+34 648514405,neurología
277,herminio,salvador,Las Palmas,dr.herminio.salvador@yopmail.com,+34 685601358,gastroenterología
278,sofia,carrasco,Las Palmas,dr.sofia.carrasco@yopmail.com,+34 698333024,alergología
279,clarisa,toro,Las Palmas,dr.clarisa.toro@yopmail.com,+34 639062221,psiquiatría
280,marina,revilla,Las Palmas,dr.marina.revilla@yopmail.com,+34 628952485,médico de cabecera
281,borja,costa,Pontevedra,dr.borja.costa@yopmail.com,+34 640236892,cardiología
282,tadeo,casanova,Pontevedra,dr.tadeo.casanova@yopmail.com,+34 604735262,neumología
283,saturnina,carmona,Pontevedra,dr.saturnina.carmona@yopmail.com,+34 631997413,endocrinología
284,carlito,seco,Pontevedra,dr.carlito.seco@yopmail.com,+34 606148833,neurología
285,chus,polo,Pontevedra,dr.chus.polo@yopmail.com,+34 614890794,gastroenterología
286,abigail,barba,Pontevedra,dr.abigail.barba@yopmail.com,+34 617518207,alergología
287,nicolasa,plaza,Pontevedra,dr.nicolasa.plaza@yopmail.com,+34 650242733,psiquiatría
288,chelo,valenzuela,Pontevedra,dr.chelo.valenzuela@yopmail.com,+34 656728631,médico de cabecera
289,timoteo,francisco,La Rioja,dr.timoteo.francisco@yopmail.com,+34 690412301,cardiología
290,pepito,guzman,La Rioja,dr.pepito.guzman@yopmail.com,+34 600771493,neumología
291,genoveva,castells,La Rioja,dr.genoveva.castells@yopmail.com,+34 682892118,endocrinología
292,amor,rossello,La Rioja,dr.amor.rossello@yopmail.com,+34 664538654,neurología
293,francisco_jose,ocana,La Rioja,dr.francisco_jose.ocana@yopmail.com,+34 665232970,gastroenterología
294,maria_angeles,aroca,La Rioja,dr.maria_angeles.aroca@yopmail.com,+34 682076200,alergología
295,borja,carreras,La Rioja,dr.borja.carreras@yopmail.com,+34 662571417,psiquiatría
296,africa,pla,La Rioja,dr.africa.pla@yopmail.com,+34 648364865,médico de cabecera
297,armando,pombo,Salamanca,dr.armando.pombo@yopmail.com,+34 638899164,cardiología
298,evaristo,nevado,Salamanca,dr.evaristo.nevado@yopmail.com,+34 671620453,neumología
299,custodio,tomas,Salamanca,dr.custodio.tomas@yopmail.com,+34 697822280,endocrinología
300,felipa,benito,Salamanca,dr.felipa.benito@yopmail.com,+34 639147664,neurología
